AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM_N,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Mobile Money,Afrimoney,Retailer Agent,,,New Gerihun Road Topoi Town Junction,Bo,BO TOWN,SOUTHERN,BO,,,,77449419,-11.716,7.9512,
Mobile Money,Afrimoney,Retailer Agent,,,Kenema Highway Yumadu Town,Yumadu,BOAMA,SOUTHERN,BO,,,,80759948,-11.49193,7.93858,
Mobile Money,Afrimoney,Retailer Agent,,,Yomandu Station,Yomandu Town,BOAMA,SOUTHERN,BO,,,,99187079,-11.49177,7.93309,
Mobile Money,Afrimoney,Retailer Agent,,,Yomandu Town,,BOAMA,SOUTHERN,BO,,,,77992514,-11.49149,7.93821,
Mobile Money,Afrimoney,Retailer Agent,,,Baoma Junction,Baoma,BOAMA,SOUTHERN,BO,,,,33277962,-11.43563,7.93217,
Mobile Money,Afrimoney,Retailer Agent,,,Baoma Station Town,Baoma,BOAMA,SOUTHERN,BO,,,,33277962,-11.43555,7.93207,
Mobile Money,Afrimoney,Retailer Agent,,,12 Sakaty Street,Makeni,BOMBALI SEBORA,NORTHERN,BOMBALI,,,,99399408,-12.05211,8.86268,
Mobile Money,Afrimoney,Retailer Agent,,,4 Jah Drive New York,Makeni,BOMBALI SEBORA,NORTHERN,BOMBALI,,,,99046239,-12.05208,8.86252,
Mobile Money,Afrimoney,Retailer Agent,,,Bo Road,Serabu,BUMPE NGAO,SOUTHERN,BO,,,,77622481,-12.05231,7.79342,
Mobile Money,Afrimoney,Retailer Agent,,,Bo Road,Bumpeh Town,BUMPE NGAO,SOUTHERN,BO,,,,99240962,-11.90375,7.89208,
Mobile Money,Afrimoney,Retailer Agent,,,"City Rd, Rotifunk",Moyamba,BUMPEH,SOUTHERN,MOYAMBA,,,,30489736,-12.67713,8.22917,
Mobile Money,Afrimoney,Retailer Agent,,,Mange Bureh,Mange,BUREH,NORTH WESTERN,PORT LOKO,,,,88727411,-12.85559,8.92834,
Mobile Money,Afrimoney,Retailer Agent,,,Mamanka,Kambia,BUREH,NORTH WESTERN,PORT LOKO,,,,33080654,-12.8555,8.92776,
Mobile Money,Afrimoney,Retailer Agent,,,Mange Bureh,Kambai,BUREH,NORTH WESTERN,PORT LOKO,,,,77839220,-12.85538,8.92792,
Mobile Money,Afrimoney,Retailer Agent,,,Mange Bureh,Kambia,BUREH,NORTH WESTERN,PORT LOKO,,,,33080654,-12.85537,8.9279,
Mobile Money,Afrimoney,Retailer Agent,,,"PWD Junction, Pademba Road",Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,99976821,-13.23626,8.47684,
Mobile Money,Afrimoney,Retailer Agent,,,52 Pademba Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,80160062,-13.23601,8.482,
Mobile Money,Afrimoney,Retailer Agent,,,86 Old Rainway Line,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,77389501,-13.23593,8.48341,
Mobile Money,Afrimoney,Retailer Agent,,,7 Pandemba Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,33191069,-13.2358,8.48485,
Mobile Money,Afrimoney,Retailer Agent,,,2 Pademba Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,80284490,-13.23566,8.48559,
Mobile Money,Afrimoney,Retailer Agent,,,13 Prince Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,77756609,-13.2351,8.47705,
